orig_string,country,city,parent_institution_normalized,institutional_subunit_normalized
Austrian Centre for Digital Humanities and Cultural Heritage,Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
"Bayerische Akademie der Wissenschaftten, Germany",Deutschland,München,Bayerische Akademie der Wissenschaften,
"Bayerische Staatsbibliothek, Germany",Deutschland,München,Bayerische Staatsbibliothek,
Berlin-Brandenburgische Akademie der Wissenschaften,Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,
"Computational Humanities Group, Universität Leipzig",Deutschland,Leipzig,Universität Leipzig,
DARIAH-EU,,,DARIAH-EU,
"Higher School of Economics, Moskau",Russland,Moskau,National Research University Higher School of Economics,
"Data Center for the Humanites (DCH), Universität zu Köln, Deutschland",Deutschland,Köln,Universität zu Köln,Data Center for the Humanites
"Data Center for the Humanities (DCH), Universität zu Köln, Deutschland",Deutschland,Köln,Universität zu Köln,Data Center for the Humanites
"Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI), Speech and Language Technology Lab",Deutschland,,"Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI), Speech and Language Technology Lab",
"Deutsches Literaturarchiv Marbach, Germany",Deutschland,Marbach,"Deutsches Literaturarchiv Marbach, Germany",
Deutsches Literaturarchiv Marbach,Deutschland,Marbach,Deutsches Literaturarchiv Marbach,
École polytechnique fédérale de Lausanne ‐ EPFL,Schweiz,Lausanne,École polytechnique fédérale de Lausanne ‐ EPFL,
"Fachhochschule Potsdam, Germany",Deutschland,Potsdam,Fachhochschule Potsdam,
"Fachhochschule Potsdam, UCLAB",Deutschland,Potsdam,Fachhochschule Potsdam,
"Fernuniversität Hagen, Germany",Deutschland,Hagen,"Fernuniversität Hagen, Germany",
"FH Potsdam, Deutschland",Deutschland,Potsdam,Fachhochschule Potsdam,
Forschungszentrum Gotha der Universität Erfurt,Deutschland,Erfurt,Forschungszentrum Gotha der Universität Erfurt,
"Freie Universität Berlin, Germany",Deutschland,Berlin,Freie Universität Berlin,
Freie Universität Berlin,Deutschland,Berlin,Freie Universität Berlin,
Goethe- und Schiller-Archiv Weimar,Deutschland,Weimar,Goethe- und Schiller-Archiv Weimar,
"Goethe-Universität Frankfurt am Main, Deutschland",Deutschland,Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main,
GWDG Göttingen,Deutschland,Göttingen,Georg-August Universität Göttingen,GWDG
"Heidelberg Centre for Transcultural Studies, Universität Heidelberg, Germany",Deutschland,Heidelberg,"Heidelberg Centre for Transcultural Studies, Universität Heidelberg, Germany",
"Heinrich-Heine-Universität Düsseldorf, Abteilung Wirtschaftsgeschichte",Deutschland,Düsseldorf,"Heinrich-Heine-Universität Düsseldorf, Abteilung Wirtschaftsgeschichte",
"Heinrich-Heine-Universität Düsseldorf, Medizinische Fakultät, Institut für Geschichte, Theorie und Ethik der Medizin",Deutschland,Düsseldorf,"Heinrich-Heine-Universität Düsseldorf, Medizinische Fakultät, Institut für Geschichte, Theorie und Ethik der Medizin",
"HSE University, Russian Federation",Russland,Moskau,National Research University Higher School of Economics,
"Humboldt-Universität zu Berlin, Germany",Deutschland,Berlin,Humboldt-Universität zu Berlin,
