orig_string	country	city	city_wd	parent_institution_normalized	parent_type	parent_wd	parent_wikidata_uri	parent_reconci	parent_factgrid	parent_ROR	parent_ROR_link	parent_url	institutional_subunit_normalized	subunit_wd	subunit_wikidata_uri	subunit_reconci	subunit_factgrid	subunit_ROR	subunit_ROR_link	subunit_url
Austrian Centre for Digital Humanities and Cultural Heritage	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24		Austrian Centre for Digital Humanities and Cultural Heritage	Q30268470	http://www.wikidata.org/entity/Q30268470	Austrian Centre for Digital Humanities and Cultural Heritage		028bsh698	https://ror.org/028bsh698	
Bayerische Akademie der Wissenschaftten, Germany	Deutschland	München	Q1726	Bayerische Akademie der Wissenschaften	Akademie	Q684415	http://www.wikidata.org/entity/Q684415	Bayerische Akademie der Wissenschaften	Q164305	001rdaz60	https://ror.org/001rdaz60									
Bayerische Staatsbibliothek, Germany	Deutschland	München	Q1726	Bayerische Staatsbibliothek	Bibliothek	Q256507	http://www.wikidata.org/entity/Q256507	Bayerische Staatsbibliothek	Q153197	031h71w90	https://ror.org/031h71w90									
Berlin-Brandenburgische Akademie der Wissenschaften	Deutschland	Berlin	Q64	Berlin-Brandenburgische Akademie der Wissenschaften	Akademie	Q219989	http://www.wikidata.org/entity/Q219989	Berlin-Brandenburgische Akademie der Wissenschaften	Q230420	05jgq9443	https://ror.org/05jgq9443									
Computational Humanities Group, Universität Leipzig	Deutschland	Leipzig	Q2079	Universität Leipzig	Universität	Q154804	http://www.wikidata.org/entity/Q154804	Universität Leipzig	Q22261	03s7gtk40	https://ror.org/03s7gtk40									
DARIAH-EU				DARIAH-EU	ERIC	Q49103279	http://www.wikidata.org/entity/Q49103279	Digital Research Infrastructure for the Arts and Humanities												
Higher School of Economics, Moskau	Russland	Moskau	Q649	National Research University Higher School of Economics	Universität	Q1959511	http://www.wikidata.org/entity/Q1959511	Nationale Forschungsuniversität - Hochschule der Wirtschaftswissenschaft		055f7t516	https://ror.org/055f7t516									
Data Center for the Humanites (DCH), Universität zu Köln, Deutschland	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Data Center for the Humanites							
Data Center for the Humanities (DCH), Universität zu Köln, Deutschland	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Data Center for the Humanites							
Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI), Speech and Language Technology Lab	Deutschland			Deutsches Forschungszentrum für Künstliche Intelligenz		Q896469	http://www.wikidata.org/entity/Q896469	Deutsches Forschungszentrum für Künstliche Intelligenz		01ayc5b57	https://ror.org/01ayc5b57		Speech and Language Technology Lab							
Deutsches Literaturarchiv Marbach, Germany	Deutschland	Marbach	Q61890	Deutsches Literaturarchiv Marbach	Archiv	Q1205813	http://www.wikidata.org/entity/Q1205813	Deutsches Literaturarchiv Marbach		05x75gh12	https://ror.org/05x75gh12									
Deutsches Literaturarchiv Marbach	Deutschland	Marbach	Q61890	Deutsches Literaturarchiv Marbach	Archiv	Q1205813	http://www.wikidata.org/entity/Q1205813	Deutsches Literaturarchiv Marbach		05x75gh12	https://ror.org/05x75gh12									
École polytechnique fédérale de Lausanne ‐ EPFL	Schweiz	Lausanne	Q807	École polytechnique fédérale de Lausanne	Universität	Q262760	http://www.wikidata.org/entity/Q262760	École polytechnique fédérale de Lausanne		02s376052	https://ror.org/02s376052									
Fachhochschule Potsdam, Germany	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23									
Fachhochschule Potsdam, UCLAB	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23									
Fernuniversität Hagen, Germany	Deutschland	Hagen	Q2871	Fernuniversität Hagen	Universität	Q687017	http://www.wikidata.org/entity/Q687017	Fernuniversität Hagen		04tkkr536	https://ror.org/04tkkr536									
FH Potsdam, Deutschland	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23									
Forschungszentrum Gotha der Universität Erfurt	Deutschland	Erfurt	Q1729	Universität Erfurt	Universität	Q702524	http://www.wikidata.org/entity/Q702524	Universität Erfurt	Q11263	03606hw36	https://ror.org/03606hw36		Forschungszentrum Gotha	Q1438165	http://www.wikidata.org/entity/Q1438165	Forschungszentrum Gotha der Universität Erfurt	Q11264			
Freie Universität Berlin, Germany	Deutschland	Berlin	Q64	Freie Universität Berlin	Universität	Q153006	http://www.wikidata.org/entity/Q153006	Freie Universität Berlin	Q77342	046ak2485	https://ror.org/046ak2485									
Freie Universität Berlin	Deutschland	Berlin	Q64	Freie Universität Berlin	Universität	Q153006	http://www.wikidata.org/entity/Q153006	Freie Universität Berlin	Q77342	046ak2485	https://ror.org/046ak2485									
Goethe- und Schiller-Archiv Weimar	Deutschland	Weimar	Q3955	Goethe- und Schiller-Archiv Weimar	Archiv	Q1534156	http://www.wikidata.org/entity/Q1534156	Goethe- und Schiller-Archiv	Q163339											
Goethe-Universität Frankfurt am Main, Deutschland	Deutschland	Frankfurt am Main	Q1794	Johann Wolfgang Goethe-Universität Frankfurt am Main	Universität	Q50662	http://www.wikidata.org/entity/Q50662	Goethe-Universität Frankfurt am Main		04cvxnb49	https://ror.org/04cvxnb49									
GWDG Göttingen	Deutschland	Göttingen	Q3033	Georg-August Universität Göttingen	Universität	Q152838	http://www.wikidata.org/entity/Q152838	Georg-August-Universität Göttingen	Q21872	01y9bpm73	https://ror.org/01y9bpm73		GWDG	Q1490164	http://www.wikidata.org/entity/Q1490164	Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen		00cd95c65	https://ror.org/00cd95c65	
