orig_string,country,city
Austrian Centre for Digital Humanities and Cultural Heritage,Österreich,
"Bayerische Akademie der Wissenschaftten, Germany",Deutschland,
"Bayerische Staatsbibliothek, Germany",Deutschland,
Berlin-Brandenburgische Akademie der Wissenschaften,,Berlin
"Computational Humanities Group, Universität Leipzig",,Leipzig
DARIAH-EU,,
"Higher School of Economics, Moskau",,Moskau
"Data Center for the Humanites (DCH), Universität zu Köln, Deutschland",Deutschland,Köln
"Data Center for the Humanities (DCH), Universität zu Köln, Deutschland",Deutschland,Köln
"Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI), Speech and Language Technology Lab",,
"Deutsches Literaturarchiv Marbach, Germany",Deutschland,
Deutsches Literaturarchiv Marbach,,
École polytechnique fédérale de Lausanne ‐ EPFL,,Lausanne
"Fachhochschule Potsdam, Germany",Deutschland,
"Fachhochschule Potsdam, UCLAB",,
"Fernuniversität Hagen, Germany",Deutschland,Hagen
"FH Potsdam, Deutschland",Deutschland,
Forschungszentrum Gotha der Universität Erfurt,,
"Freie Universität Berlin, Germany",Deutschland,Berlin
Freie Universität Berlin,,Berlin
Goethe- und Schiller-Archiv Weimar,,
"Goethe-Universität Frankfurt am Main, Deutschland",Deutschland,Frankfurt
GWDG Göttingen,,
"Heidelberg Centre for Transcultural Studies, Universität Heidelberg, Germany",Deutschland,
"Heinrich-Heine-Universität Düsseldorf, Abteilung Wirtschaftsgeschichte",,
"Heinrich-Heine-Universität Düsseldorf, Medizinische Fakultät, Institut für Geschichte, Theorie und Ethik der Medizin",,
"HSE University, Russian Federation",Russland,
"Humboldt-Universität zu Berlin, Germany",Deutschland,Berlin
"Humboldt-Universität zu Berlin, Institut für Bibliotheks- und Informationswissenschaft",,Berlin
Humboldt-Universität zu Berlin,,Berlin
Institut für Architektur von Anwendungssystemen (IAAS) - Universität Stuttgart,,
"Institut für Computerlinguistik, Universität Heidelberg, Germany",Deutschland,
"Institut für Deutsche Literatur und ihre Didaktik, Universität Frankfurt",,Frankfurt
"Institut für Deutsche Philologie, JMU Würzburg",,
"Institut für Deutsche Philologie, Lehrstuhl für Computerphilologie und neuere deutsche Literaturgeschichte, Universität Würzburg",,
"Institut für Deutsche Philologie, Lehrstuhl für Comuterphilologie und neuere deutsche Literaturgeschichte, Universität Würzburg",,
Institut für Informatik und digitale Bildung - Pädagogischen Hochschule Karlsruhe,,
Julius-Maximilians-Universität Würzburg,,
"Karlsruher Institut für Technologie, Germany",Deutschland,
Københavns Universitet,,
Technische Universität Berlin,,Berlin
Le Mans Université,,
"Lehrstuhl für Medieninformatik, Universität Regensburg, Germany",Deutschland,
"Lehrstuhl für Medieninformatik, Universität Regensburg",,
Leibniz-Institut für Deutsche Sprache,,
Leibniz-Institut für Europäische Geschichte,,
"Leipzig Universität, Deutschland",Deutschland,Leipzig
Literaturarchiv und Literaturmuseum Österreichische Nationalbibliothek,Österreich,
"LMU München, Germany",Deutschland,
"Ludwig Forum für Internationale Kunst, Germany",Deutschland,
"Ludwig-Maximilians-Universität München, Germany",Deutschland,
"Luxembourg Centre for Contemporary and Digital History (C2DH), Luxembourg",,
National Research University Higher School of Economics Moscow,,
"Österreichische Akademie der Wissenschaften, Austria",Österreich,
"Österreichische Akademie der Wissenschaften, Austrian Centre for Digital Humanities and Cultural Heritage (ACDH-CH)",Österreich,
"Rheinische Friedrich-Wilhelms-Universität Bonn, Deutschland",Deutschland,Bonn
"Ruhr-Universität Bochum, Deutschland",Deutschland,Bochum
"Ruhr-Universität Bochum, Germany",Deutschland,Bochum
Schweizerisches Literaturarchiv,Schweiz,
"Spezielle Botanik und Funktionelle Biodiversität, Universität Leipzig",,Leipzig
"Deutsches Zentrum für integrative Biodiversitätsforschung (iDiv), Halle-Jena-Leipzig",,Jena
"Max-Planck-Institut für Biogeochemie, Jena",,Jena
"Spotlight on Innovation (SPOTIN) NPCC, Greece",Griechenland,
"Technische Universität Darmstadt, Deutschland",Deutschland,
"Technische Universität Darmstadt, Germany",Deutschland,
Technische Universität Darmstadt,,
"The Open University, United Kingdom",Vereinigtes Königreich,
"Theodor-Fontane-Archiv, Universität Potsdam",,
"Thüringer Universitäts- und Landesbibliothek, Germany",Deutschland,
"TU Darmstadt, Germany",Deutschland,
"TU Dresden, Germany",Deutschland,
"UCLAB, Fachhochschule Potsdam, Germany",Deutschland,
Universität Bamberg,,
"Universität Bielefeld, Germany",Deutschland,
Universität Bielefeld,,
"Universität Graz, Austria",Österreich,Graz
"Universität Hamburg, Deutschland",Deutschland,Hamburg
"Universität Hamburg, Germany",Deutschland,Hamburg
"Universität Köln, Germany",Deutschland,Köln
"Universität Leipzig, Deutschland",Deutschland,Leipzig
"Universität Leipzig, Germany",Deutschland,Leipzig
"Universität Paderborn, Germany",Deutschland,
"Universität Potsdam, Germany",Deutschland,
Universität Potsdam,,
"Universität Rostock, Germany",Deutschland,
"Universität Stuttgart, Germany",Deutschland,
"Universität Stuttgart, Institut für maschinelle Sprachverarbeitung",,
Universität Stuttgart,,
"Universität Trier, Germany",Deutschland,Trier
"Universität Tübingen, Germany",Deutschland,
"Universität zu Köln, Deutschland",Deutschland,Köln
"Universität zu Köln, Germany",Deutschland,Köln
"Universitätsbibliothek Braunschweig, Deutschland",Deutschland,
Universitätsbibliothek Erlangen-Nürnberg,,
University of Zurich,,Zurich
"Wienbibliothek im Rathaus, Austria",Österreich,Wien
"Xorostasi NPCC, Greece",Griechenland,
"Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz, Österreich",Österreich,Graz
"Akademie der Wissenschaften und der Literatur | Mainz, Deutschland",Deutschland,Mainz
"Akademie der Wissenschaften und der Literatur Mainz, Deutschland",Deutschland,Mainz
Albert-Ludwigs-Universität Freiburg,,Freiburg
"Austrian Academy of Sciences, Österreich",Österreich,
"Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften",Österreich,
"Bayerische Akademie der Wissenschaften, Deutschland",Deutschland,
"Bayerische Akademie der Wissenschaften, München",,
"Bayerische Staatsbilbliothek, München",,
"Bergische Universität Wuppertal, Deutschland",Deutschland,
Bergische Universität Wuppertal,,
Herzog August Bibliothek Wolfenbüttel,,
Berlin,,Berlin
"Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland",Deutschland,Berlin
Centre for Contemporary and Digital History (C2DH) Luxembourg University,,
"College of Engineering, Trivandrum, Indien",Indien,
"College of Social Sciences and Humanities at the Northeastern University, USA",,
"Deutsche Nationalbibliothek Arbeitsstelle für Standardisierung, Leipzig",,Leipzig
"Deutsche Nationalbibliothek, Deutschland",Deutschland,
Deutsche Nationalbibliothek,,
"Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg, Marburg",,
"Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI), Berlin",,Berlin
"DFG Graduierten Kolleg ""Modell Romantik""",,Roma
Jena University Language & Information Engineering Lab (JULIE Lab),,Jena
Ella Media GmbH,,
"English Department at the University of California, USA",,
"ETH Zürich, Schweiz",Schweiz,
"Fachhochschule Potsdam, Deutschland",Deutschland,
"Fachhochschule Potsdam, Fachbereich Informationswissenschaften, RDMO, Deutschland",Deutschland,
Fachhochschule Potsdam,,
"FAU Erlangen, Deutschland",Deutschland,
"FAU Erlangen-Nürnberg, Deutschland",Deutschland,
"FAU Erlangen-Nürnberg, Informatik, Deutschland",Deutschland,
"Bibliotheca Hertziana, Rom, Italien",Italien,Rom
Folkwang Universität der Künste Essen,,
"Forschungsverbund Marbach Weimar Wolfenbüttel, Deutschland",Deutschland,
"Forschungsverbund MWW, Herzog August Bibliothek Wolfenbüttel, Deutschland",Deutschland,
"Freie Universität Berlin, Deutschland",Deutschland,Berlin
Friedrich-Alexander-Universität Erlangen-Nürnberg,,
"Friedrich-Schiller-Universität Jena, Deutschland",Deutschland,Jena
"Georg-August Universität Göttingen, Deutschland",Deutschland,
"Georg-Eckert-Institut - Leibniz-Institut für internationale Schulbuchforschung, Deutschland",Deutschland,
GrazMuseum,,Graz
Hamburg,,Hamburg
Heinrich-Heine-Universität Düsseldorf,,
"Herzog August Bibliothek Wolfenbüttel, Deutschland",Deutschland,
"Herzog-August-Bibliothek Wolfenbüttel, Deutschland",Deutschland,
"Higher School of Economics Moskau, Russland",Russland,Moskau
"Higher School of Economics, Moskau, Russland",Russland,Moskau
"Historische Kommission bei der Bayerischen Akademie der Wissenschaften, Deutschland",Deutschland,
"Hochschule Darmstadt, Fachbereich Media, HeFDI, Deutschland",Deutschland,
Hochschule für Angewandte Wissenschaften Hamburg,,Hamburg
"Hochschule für Jüdische Studien Heidelberg, Deutschland",Deutschland,
"Hochschule Luzern, Schweiz",Schweiz,
"Hochschule Mainz, Deutschland",Deutschland,Mainz
Höchstleistungsrechenzentrum Stuttgart,,
"HS Mainz, Deutschland",Deutschland,Mainz
"HSE University, Russland",Russland,
"HTWK Leipzig, Deutschland",Deutschland,Leipzig
HTWK Leipzig,,Leipzig
Humboldt Universität Berlin,,Berlin
"Humboldt-Universität zu Berlin, Deutschland",Deutschland,Berlin
"Institut für Digital Humanities, Universität zu Köln, Deutschland",Deutschland,Köln
